folder,vol_error_af,vol_error_pct,start_time,end_time,max_wse,max_depth,max_face_velocity,max_velocity,max_volume,max_flow_balance,max_wind_EventCond,max_prcp_EventCond,max_bc_flow_EventCond,max_bc_stage_EventCond,max_IC_elevation,unique_manning,unique_cell_infiltration_initial_deficit,unique_cell_infiltration_maximum_deficit,unique_cell_infiltration_pot_percolation_rate,unique_cell_impervious_pct_imper
syn_event_1039_L-H-L_1979-02-17_21-00-00_SM3_BF1_SLR1,43416.8515625,1.7448508739471436,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,80.57762145996094,141.1035614013672,1.598528711795829,566347392.0,88077.3203125,48.00800323486328,4.974938869476318,9170.0,3.7899999618530273,21.670000076293945,262648,211903,248521,2,216366
syn_event_18_L-H-H_2012-06-07_07-00-00_SM3_BF1_SLR1,22576.62890625,0.9606785774230957,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,81.06636810302734,122.75616455078125,1.4463245403766634,564752256.0,92560.953125,32.58454132080078,7.583231449127197,3120.0,4.03000020980835,21.670000076293945,262648,211903,248521,2,216366
syn_event_14_H-H-H_2005-01-14_16-00-00_SM3_BF1_SLR1,44447.6875,1.732722282409668,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,79.77842712402344,129.42678833007812,1.4420324623584768,589112832.0,110605.4296875,42.89753341674805,2.7138702869415283,5140.0,4.670000076293945,21.670000076293945,262648,211903,248521,2,216366
syn_event_1038_L-H-L_2000-01-08_22-00-00_SM3_BF1_SLR1,30968.6171875,1.1648699045181274,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,79.31102752685547,93.86966705322266,1.5160202813148511,568004416.0,88324.546875,62.81159591674805,2.528961181640625,4430.0,4.0,21.670000076293945,262648,211903,248521,2,216366
syn_event_17_H-H-L_2023-05-24_21-00-00_SM3_BF1_SLR1,62020.13671875,2.367802858352661,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,80.30018615722656,106.65201568603516,1.8501963913440735,590007744.0,83364.734375,61.554893493652344,3.786494255065918,3450.0,4.039999961853027,21.670000076293945,262648,211903,248521,2,216366
syn_event_18_H-L-L_2006-11-03_12-00-00_SM3_BF1_SLR1,34097.3046875,1.5749928951263428,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,79.39654541015625,129.44961547851562,1.1941112220287344,577372864.0,81699.1328125,37.64397430419922,5.001781463623047,3190.0,4.039999961853027,21.670000076293945,262648,211903,248521,2,216366
syn_event_149_L-H-L_1989-03-08_18-00-00_SM3_BF1_SLR1,25522.1015625,0.8871111869812012,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,10.173727035522461,8.969926834106445,1.837559165954597,581173568.0,92254.21875,30.902658462524414,0.16567324101924896,14000.0,3.9600000381469727,21.670000076293945,262648,211903,248521,2,216366
syn_event_17_H-H-H_2005-01-14_16-00-00_SM3_BF1_SLR1,51272.73046875,2.116960048675537,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,81.31546783447266,91.10549926757812,1.134538893699647,573025536.0,81941.40625,44.88999557495117,15.529043197631836,4490.0,3.5899999141693115,21.670000076293945,262648,211903,248521,2,216366
syn_event_100_H-L-H_2006-12-25_15-00-00_SM3_BF1_SLR1,33631.80859375,1.347163200378418,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,80.5142593383789,129.42779541015625,1.5875426745414767,560640960.0,95987.453125,44.12577438354492,7.607174873352051,7900.0,4.0,21.670000076293945,262648,211903,248521,2,216366
syn_event_18_H-L-H_2008-03-07_19-00-00_SM3_BF1_SLR1,40648.35546875,1.9413552284240723,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,79.66710662841797,141.1306915283203,1.1233652913570409,564185472.0,84902.65625,38.7819709777832,3.632175922393799,10800.0,2.930000066757202,21.670000076293945,262648,211903,248521,2,216366
syn_event_149_H-L-L_2003-12-04_06-00-00_SM3_BF1_SLR1,28143.099609375,1.0697144269943237,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,80.64490509033203,141.13941955566406,1.1450972521305103,558236800.0,93372.375,35.8017692565918,8.513495445251465,5230.0,3.5999999046325684,21.670000076293945,262648,211903,248521,2,216366
syn_event_1018_L-H-L_1998-08-02_12-00-00_SM3_BF1_SLR1,29197.396484375,1.4040124416351318,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,10.176118850708008,94.35617065429688,1.5490922272205354,560453760.0,66448.4453125,42.439666748046875,0.8724362254142761,5200.0,2.9100000858306885,21.670000076293945,262648,211903,248521,2,216366
syn_event_179_L-H-L_2008-09-24_00-00-00_SM3_BF1_SLR1,26168.916015625,1.1390647888183594,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,31.7191162109375,91.07595825195312,1.222513090372087,589867200.0,91450.71875,38.587196350097656,2.5024585723876953,11100.0,4.579999923706055,21.670000076293945,262648,211903,248521,2,216366
syn_event_18_H-H-L_1988-12-12_19-00-00_SM3_BF1_SLR1,32246.734375,1.4110991954803467,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,79.33776092529297,106.7041244506836,1.3583278036117603,561534848.0,87194.515625,40.97373962402344,1.1787457466125488,5420.0,2.890000104904175,21.670000076293945,262648,211903,248521,2,216366
syn_event_149_H-H-L_2019-03-27_09-00-00_SM3_BF1_SLR1,32623.03125,1.3920650482177734,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,77.4538803100586,91.11676788330078,1.3247259008884453,578250752.0,105707.453125,60.57127380371094,4.05699348449707,4680.0,3.940000057220459,21.670000076293945,262648,211903,248521,2,216366
syn_event_179_H-L-L_2013-11-13_11-00-00_SM3_BF1_SLR1,38899.64453125,1.653778314590454,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,10.175924301147461,106.900390625,1.4878564584255283,564131008.0,82767.5390625,43.846805572509766,1.9345961809158325,4510.0,2.9800000190734863,21.670000076293945,262648,211903,248521,2,216366
syn_event_1042_L-H-L_1985-09-14_04-00-00_SM3_BF1_SLR1,19678.43359375,0.8225129842758179,01Jan2000 00:00:00,07Jan2000 23:00:00,327.6592712402344,79.34362030029297,141.13851928710938,1.3404690849781076,569693504.0,84438.65625,35.96525192260742,1.5602366924285889,6200.0,3.950000047683716,21.670000076293945,262648,211903,248521,2,216366
