Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft)
S0479,Success,7h 26m 42s,24,,15950.,0.2370,0.54,Jul 22 18:36,Jul 23 02:03,,327.66,6.43,6.76,579583744.0,158354.91,N/A,0.49,8.24
S0481,Success,4h 26m 2s,15,,9891.,0.2008,0.24,Jul 22 18:34,Jul 22 23:00,,327.66,9.53,8.25,563878272.0,217895.75,N/A,0.43,8.24
S0480,Success,9h 19m 41s,30,,20656.,0.2745,2.44,Jul 22 18:42,Jul 23 04:02,,327.66,14.13,10.19,596974656.0,204727.25,N/A,0.58,11.55
S0482,Success,4h 23m 39s,15,,8607.,0.1497,2.34,Jul 22 18:33,Jul 22 22:57,,327.66,11.53,9.27,620315072.0,266154.62,N/A,1.69,9.78
S0483,Success,7h 32m 22s,24,,16926.,0.2599,0.47,Jul 22 18:37,Jul 23 02:09,,327.66,9.57,7.33,589451584.0,225748.95,N/A,0.52,8.24
S0484,Success,7h 13m 3s,24,,16879.,0.2896,0.13,Jul 22 18:37,Jul 23 01:50,,327.66,5.75,6.09,558467328.0,139567.06,N/A,0.44,8.24
S0486,Success,4h 21m 56s,15,,9324.,0.1912,0.19,Jul 22 18:34,Jul 22 22:56,,327.66,7.89,6.4,565187008.0,151638.91,N/A,0.67,8.24
S0485,Success,8h 32m 55s,27,,20645.,0.2741,2.47,Jul 22 18:43,Jul 23 03:16,,327.66,14.13,10.12,597878144.0,201583.11,N/A,0.58,11.55
S0705,Success,9h 13m 12s,30,,22198.,0.2933,2.42,Jul 22 18:42,Jul 23 03:55,,327.66,14.13,11.59,596264256.0,222886.42,N/A,0.58,11.55
S0706,Success,7h 1m 45s,24,,17223.,0.2837,0.12,Jul 22 18:37,Jul 23 01:39,,327.66,7.8,6.94,557797632.0,178868.42,N/A,0.41,8.24
S0707,Success,7h 37m 58s,24,,18384.,0.2817,0.86,Jul 22 18:39,Jul 23 02:17,,327.66,5.87,6.47,574167488.0,151719.33,N/A,0.43,8.24
S0708,Success,6h 3m 56s,21,,15914.,0.2579,1.32,Jul 22 18:34,Jul 23 00:38,,327.66,11.08,7.03,579353280.0,285439.41,N/A,0.92,8.24
S0709,Success,9h 29m 13s,30,,20961.,0.2779,2.18,Jul 22 18:41,Jul 23 04:10,,327.66,14.13,11.56,596042624.0,217836.39,N/A,0.58,11.55
S0711,Success,9h 31m 20s,30,,21019.,0.2783,2.29,Jul 22 18:42,Jul 23 04:13,,327.66,14.13,11.55,596468416.0,222738.06,N/A,0.58,11.55
S0710,Success,8h 58m 57s,27,,21200.,0.3023,0.13,Jul 22 18:40,Jul 23 03:39,,327.66,6.99,5.97,567089408.0,142595.64,N/A,0.61,8.24
S0712,Success,5h 39m 51s,18,,12870.,0.2474,0.09,Jul 22 18:34,Jul 23 00:14,,327.66,5.77,5.82,570431296.0,139719.78,N/A,0.39,8.24
S0713,Success,7h 52m 14s,24,,21168.,0.3124,0.10,Jul 22 18:40,Jul 23 02:32,,327.66,5.89,5.55,568199424.0,141162.69,N/A,0.43,8.24
S0714,Success,8h 24m 8s,27,,21669.,0.2864,2.17,Jul 22 18:41,Jul 23 03:05,,327.66,14.13,11.59,596227072.0,218889.52,N/A,0.58,11.55
S0716,Success,6h 23m 16s,21,,15156.,0.2494,1.73,Jul 22 18:34,Jul 23 00:57,,327.66,14.04,9.55,590576192.0,351603.62,N/A,1.15,8.24
S0715,Success,9h 44m 44s,30,,20937.,0.2777,2.22,Jul 22 18:40,Jul 23 04:25,,327.66,14.13,11.57,596002304.0,215626.11,N/A,0.58,11.55
S0718,Success,5h 41m 28s,18,,11613.,0.2277,0.50,Jul 22 18:33,Jul 23 00:14,,327.66,9.9,7.61,571721024.0,279397.66,N/A,0.47,8.24
S0717,Success,7h 41m 46s,24,,15918.,0.2409,0.73,Jul 22 18:35,Jul 23 02:17,,327.66,5.97,7.47,577263488.0,241768.61,N/A,0.35,8.24
S0719,Success,8h 39m 22s,27,,20409.,0.3239,0.09,Jul 22 18:38,Jul 23 03:17,,327.66,6.02,5.9,573130432.0,138503.98,N/A,0.37,8.24
S0720,Success,6h 24m 5s,21,,13757.,0.2656,0.11,Jul 22 18:34,Jul 23 00:58,,327.66,7.97,6.26,557796992.0,188416.81,N/A,0.27,8.24
S0721,Success,7h 53m 7s,24,,18052.,0.2822,0.19,Jul 22 18:37,Jul 23 02:30,,327.66,8.08,7.3,560443520.0,176018.59,N/A,0.39,8.24
S0722,Success,8h 37m 46s,27,,22038.,0.2911,2.34,Jul 22 18:40,Jul 23 03:18,,327.66,14.13,11.55,596250304.0,219588.58,N/A,0.58,11.55
S0723,Success,6h 42m 44s,21,,20351.,0.2879,2.20,Jul 22 18:34,Jul 23 01:17,,327.66,19.37,10.32,631619264.0,332548.09,N/A,1.36,9.27
S0724,Success,7h 49m 50s,24,,19662.,0.2618,0.28,Jul 22 18:37,Jul 23 02:27,,327.66,10.12,7.15,585646912.0,190401.66,N/A,0.77,8.24
S0726,Success,3h 19m 24s,12,,8563.,0.2017,0.81,Jul 22 18:33,Jul 22 21:52,,327.66,5.77,6.62,558082368.0,154440.92,N/A,0.61,8.24
S0725,Success,6h 24m 35s,21,,17080.,0.2919,0.10,Jul 22 18:36,Jul 23 01:01,,327.66,8.17,5.8,558455808.0,157992.44,N/A,0.33,8.24
S0727,Success,4h 32m 18s,15,,10397.,0.1951,0.15,Jul 22 18:33,Jul 22 23:05,,327.66,6.03,6.74,576643072.0,153464.08,N/A,0.35,8.24
S0728,Success,8h 30m 43s,27,,20808.,0.2760,2.19,Jul 22 18:39,Jul 23 03:10,,327.66,14.13,11.55,596061760.0,217414.73,N/A,0.58,11.55
S0729,Success,8h 52m 18s,27,,44823.,0.5914,2.31,Jul 22 18:40,Jul 23 03:32,,327.66,14.13,11.55,596000448.0,218110.84,N/A,0.58,11.55
S0731,Success,9h 45m 12s,30,,29504.,0.3279,1.20,Jul 22 18:40,Jul 23 04:25,,327.66,19.74,8.79,647654272.0,317508.72,N/A,1.38,8.26
S0730,Success,6h 51m 45s,21,,20005.,0.3237,0.15,Jul 22 18:37,Jul 23 01:29,,327.66,6.03,5.97,577586880.0,149882.94,N/A,0.37,8.24
S0732,Success,5h 20m 27s,18,,14249.,0.2707,2.00,Jul 22 18:34,Jul 22 23:54,,327.66,8.99,7.35,582106688.0,318145.66,N/A,0.65,8.24
S0734,Success,4h 26m 0s,15,,8886.,0.1842,0.39,Jul 22 18:35,Jul 22 23:01,,327.66,7.04,6.28,572692608.0,137601.55,N/A,0.55,8.24
S0733,Success,8h 44m 2s,27,,23809.,0.3488,0.17,Jul 22 18:40,Jul 23 03:24,,327.66,8.31,6.82,576541120.0,172920.11,N/A,0.43,8.24
S0736,Success,6h 12m 20s,21,,14977.,0.2904,0.09,Jul 22 18:36,Jul 23 00:48,,327.66,6.72,5.33,557802816.0,126423.64,N/A,0.37,8.24
S0735,Success,7h 37m 35s,24,,16967.,0.2558,0.18,Jul 22 18:37,Jul 23 02:15,,327.66,7.11,6.8,565480832.0,169963.44,N/A,0.29,8.24
S0737,Success,6h 59m 10s,21,,16553.,0.2915,0.18,Jul 22 18:36,Jul 23 01:35,,327.66,5.86,5.53,573853568.0,153470.8,N/A,0.27,8.24
S0738,Success,5h 5m 25s,18,,11632.,0.2352,0.87,Jul 22 18:33,Jul 22 23:39,,327.66,5.69,5.62,571942400.0,141824.05,N/A,0.35,8.24
S0739,Success,10h 38m 31s,33,,28807.,0.3807,3.93,Jul 22 18:42,Jul 23 05:20,,327.66,14.13,9.41,608722880.0,193460.53,N/A,0.58,11.55
S0740,Success,8h 49m 13s,27,,23532.,0.3088,2.50,Jul 22 18:38,Jul 23 03:27,,327.66,21.05,11.57,666681984.0,280030.03,N/A,1.17,11.98
S0741,Success,5h 39m 39s,18,,12906.,0.2198,2.87,Jul 22 18:35,Jul 23 00:14,,327.66,17.2,12.01,631781120.0,324571.62,N/A,1.21,13.55
S0742,Success,4h 6m 1s,15,,8592.,0.1741,2.55,Jul 22 18:33,Jul 22 22:39,,327.66,11.2,8.04,594160128.0,294103.78,N/A,0.97,8.24
S0744,Success,6h 5m 5s,21,,16263.,0.2945,0.07,Jul 22 18:36,Jul 23 00:41,,327.66,6.94,5.41,557796032.0,130933.61,N/A,0.29,8.24
S0743,Success,8h 10m 34s,27,,20429.,0.2805,0.32,Jul 22 18:40,Jul 23 02:50,,327.66,9.62,6.76,599412864.0,158500.19,N/A,0.71,8.24
S0745,Success,6h 50m 10s,21,,17538.,0.2896,0.14,Jul 22 18:37,Jul 23 01:27,,327.66,6.13,5.99,562550336.0,180648.16,N/A,0.28,8.24
S0747,Success,6h 38m 17s,21,,16234.,0.2467,0.17,Jul 22 18:35,Jul 23 01:13,,327.66,9.06,7.01,563968832.0,172484.94,N/A,0.32,8.24
S0746,Success,8h 31m 50s,27,,19379.,0.2729,2.38,Jul 22 18:38,Jul 23 03:10,,327.66,12.38,9.98,629546368.0,313781.16,N/A,0.68,9.82
S0748,Success,4h 11m 31s,15,,8594.,0.1569,2.39,Jul 22 18:34,Jul 22 22:45,,327.66,7.75,9.85,586810496.0,285093.62,N/A,0.75,9.0
S0749,Success,6h 38m 8s,21,,16012.,0.2279,1.94,Jul 22 18:35,Jul 23 01:13,,327.66,20.47,10.71,661433472.0,343596.03,N/A,1.3,12.85
S0750,Success,8h 36m 28s,27,,20834.,0.2764,2.06,Jul 22 18:41,Jul 23 03:18,,327.66,14.13,10.04,597744896.0,198797.33,N/A,0.58,11.55
S0751,Success,5h 6m 31s,18,,13124.,0.2455,0.16,Jul 22 18:34,Jul 22 23:40,,327.66,5.76,5.56,563286144.0,147813.92,N/A,0.36,8.24
S0752,Success,4h 26m 35s,15,,11514.,0.2356,0.12,Jul 22 18:33,Jul 22 22:59,,327.66,6.44,5.34,557795840.0,130861.45,N/A,0.46,8.24
S0753,Success,6h 21m 12s,21,,16171.,0.2644,0.22,Jul 22 18:35,Jul 23 00:56,,327.66,7.56,6.18,575405824.0,163951.53,N/A,0.34,8.24
S0754,Success,7h 16m 6s,24,,17411.,0.2602,1.45,Jul 22 18:38,Jul 23 01:54,,327.66,12.82,8.31,608434880.0,305429.34,N/A,0.63,8.24
S0755,Success,8h 15m 58s,27,,20988.,0.2780,2.19,Jul 22 18:41,Jul 23 02:57,,327.66,14.13,9.98,598541696.0,199117.08,N/A,0.58,11.55
S0756,Success,3h 44m 14s,12,,8969.,0.1924,0.37,Jul 22 18:34,Jul 22 22:19,,327.66,8.78,7.7,576477952.0,276908.31,N/A,0.79,8.24
S0758,Success,5h 35m 7s,18,,12929.,0.2007,1.24,Jul 22 18:35,Jul 23 00:10,,327.66,10.7,8.21,619618176.0,254401.31,N/A,1.17,8.24
S0757,Success,6h 15m 3s,21,,16875.,0.2884,0.17,Jul 22 18:36,Jul 23 00:51,,327.66,5.86,5.64,573091712.0,145516.38,N/A,0.33,8.24
S0759,Success,6h 12m 7s,21,,16311.,0.2741,0.13,Jul 22 18:35,Jul 23 00:47,,327.66,6.66,5.88,560782528.0,182832.12,N/A,0.36,8.24
S0760,Success,4h 45m 43s,15,,13031.,0.2665,0.15,Jul 22 18:34,Jul 22 23:20,,327.66,5.52,5.28,569409984.0,122852.82,N/A,0.28,8.24
S0762,Success,6h 27m 17s,21,,15560.,0.2689,0.14,Jul 22 18:36,Jul 23 01:03,,327.66,7.5,5.61,559343360.0,158221.38,N/A,0.34,8.24
S0761,Success,7h 19m 16s,24,,17292.,0.2343,1.23,Jul 22 18:38,Jul 23 01:57,,327.66,12.45,8.59,603072896.0,268032.28,N/A,0.67,8.24
S0763,Success,9h 5m 29s,30,,20624.,0.2736,2.40,Jul 22 18:41,Jul 23 03:46,,327.66,14.13,10.12,597776640.0,201827.42,N/A,0.58,11.55
S0764,Success,9h 53m 59s,30,,22216.,0.2922,2.45,Jul 22 18:41,Jul 23 04:35,,327.66,14.13,9.81,604748928.0,197022.92,N/A,0.58,11.55
S0766,Success,4h 19m 1s,15,,8471.,0.1648,0.18,Jul 22 18:34,Jul 22 22:53,,327.66,11.98,7.36,588475456.0,289802.59,N/A,1.0,8.24
S0765,Success,5h 36m 9s,18,,13139.,0.2454,0.18,Jul 22 18:34,Jul 23 00:10,,327.66,5.87,5.51,562533440.0,153057.58,N/A,0.46,8.24
S0768,Success,6h 36m 44s,21,,16811.,0.3082,0.07,Jul 22 18:36,Jul 23 01:12,,327.66,5.55,5.26,557820608.0,128008.12,N/A,0.27,8.24
S0767,Success,5h 53m 53s,18,,13736.,0.2448,0.13,Jul 22 18:34,Jul 23 00:28,,327.66,8.34,6.21,568085440.0,145755.22,N/A,0.52,8.24
S0769,Success,7h 7m 10s,24,,16869.,0.2590,0.19,Jul 22 18:36,Jul 23 01:43,,327.66,6.41,7.43,570588288.0,216749.03,N/A,0.38,8.24
S0771,Success,4h 5m 44s,15,,9160.,0.1831,0.21,Jul 22 18:34,Jul 22 22:39,,327.66,11.77,8.11,585187968.0,288074.06,N/A,0.86,8.24
S0770,Success,8h 51m 6s,27,,19923.,0.2493,0.52,Jul 22 18:40,Jul 23 03:31,,327.66,10.33,8.68,594717376.0,270536.72,N/A,0.63,8.24
S0772,Success,5h 28m 31s,18,,12578.,0.2204,0.19,Jul 22 18:35,Jul 23 00:03,,327.66,13.94,8.13,564483520.0,282514.62,N/A,0.35,8.24
S0773,Success,6h 56m 52s,21,,16251.,0.2371,0.19,Jul 22 18:36,Jul 23 01:33,,327.66,8.25,7.16,569821248.0,193245.23,N/A,0.45,8.24
S0775,Success,3h 3m 6s,12,,6680.,0.1543,0.19,Jul 22 18:33,Jul 22 21:36,,327.66,7.52,5.99,567547776.0,149400.48,N/A,0.8,8.24
S0774,Success,6h 40m 8s,21,,16181.,0.2473,0.69,Jul 22 18:36,Jul 23 01:16,,327.66,11.8,8.05,597484032.0,268417.03,N/A,0.83,8.24
S0776,Success,7h 5m 47s,24,,16888.,0.2495,0.19,Jul 22 18:37,Jul 23 01:43,,327.66,8.08,7.74,566161600.0,182624.84,N/A,0.48,8.24
S0977,Success,7h 56m 33s,24,,19957.,0.3178,1.86,Jul 22 18:37,Jul 23 02:33,,327.66,11.63,7.76,560105536.0,239653.11,N/A,0.45,8.24
S0978,Success,7h 17m 40s,24,,17531.,0.2584,0.35,Jul 22 18:37,Jul 23 01:55,,327.66,10.36,7.04,558558400.0,209227.77,N/A,0.33,8.24
S0980,Success,9h 33m 4s,30,,23171.,0.3067,2.19,Jul 22 18:42,Jul 23 04:15,,327.66,14.13,11.44,598284672.0,207796.45,N/A,0.58,11.55
S0979,Success,7h 22m 25s,24,,17903.,0.2633,0.19,Jul 22 18:37,Jul 23 02:00,,327.66,7.83,6.78,571672320.0,188337.31,N/A,0.32,8.24
S0982,Success,6h 4m 38s,21,,13808.,0.2337,1.18,Jul 22 18:35,Jul 23 00:40,,327.66,10.31,8.02,569402432.0,219534.36,N/A,0.48,8.24
S0983,Success,4h 9m 20s,15,,9336.,0.1847,0.54,Jul 22 18:34,Jul 22 22:43,,327.66,6.27,6.78,579583744.0,166414.89,N/A,0.23,8.24
S0981,Success,8h 45m 40s,27,,20869.,0.2890,0.50,Jul 22 18:41,Jul 23 03:27,,327.66,10.25,7.89,563708672.0,234798.14,N/A,0.33,8.24
S0984,Success,7h 54m 37s,24,,19275.,0.2991,0.45,Jul 22 18:38,Jul 23 02:33,,327.66,8.03,6.36,572961152.0,224825.06,N/A,0.36,8.24
S0985,Success,8h 24m 3s,27,,20852.,0.3152,0.52,Jul 22 18:40,Jul 23 03:04,,327.66,5.75,5.98,560878080.0,172882.17,N/A,0.29,8.24
S0987,Success,6h 15m 41s,21,,15720.,0.2502,1.64,Jul 22 18:34,Jul 23 00:49,,327.66,11.09,9.47,581244096.0,262637.78,N/A,0.81,8.24
S0986,Success,10h 11m 10s,33,,24982.,0.3286,2.39,Jul 22 18:41,Jul 23 04:52,,327.66,14.13,10.41,599209920.0,252636.05,N/A,0.58,11.55
S0988,Success,5h 53m 40s,18,,13445.,0.2200,1.29,Jul 22 18:34,Jul 23 00:28,,327.66,10.44,8.17,558946560.0,201694.08,N/A,0.37,8.24
S0989,Success,6h 39m 54s,21,,17830.,0.3138,0.15,Jul 22 18:38,Jul 23 01:18,,327.66,6.6,5.75,557796736.0,142667.09,N/A,0.3,8.24
S0990,Success,7h 1m 7s,24,,17056.,0.2544,0.16,Jul 22 18:37,Jul 23 01:38,,327.66,9.63,8.32,563716736.0,261191.2,N/A,0.52,8.24
S0991,Success,8h 5m 58s,27,,21927.,0.3235,0.16,Jul 22 18:38,Jul 23 02:44,,327.66,6.16,6.67,572958272.0,172742.62,N/A,0.37,8.24
S0992,Success,8h 58m 22s,27,,22210.,0.2931,2.40,Jul 22 18:41,Jul 23 03:39,,327.66,14.13,11.51,595977600.0,220237.72,N/A,0.58,11.55
S0993,Success,7h 15m 39s,24,,21766.,0.3224,1.31,Jul 22 18:38,Jul 23 01:53,,327.66,14.47,9.26,615188032.0,332699.84,N/A,0.9,8.24
S0994,Success,7h 0m 32s,24,,17784.,0.2857,0.22,Jul 22 18:37,Jul 23 01:38,,327.66,6.15,6.32,578865472.0,169350.97,N/A,0.32,8.24
S0995,Success,5h 29m 28s,18,,14196.,0.2752,0.46,Jul 22 18:35,Jul 23 00:04,,327.66,7.12,5.99,561019584.0,168437.44,N/A,0.34,8.24
S0996,Success,4h 14m 12s,15,,10254.,0.2196,0.16,Jul 22 18:34,Jul 22 22:49,,327.66,5.92,6.08,566114048.0,161539.45,N/A,0.26,8.24
S0997,Success,8h 48m 4s,27,,20925.,0.2774,2.30,Jul 22 18:41,Jul 23 03:29,,327.66,14.13,11.52,596265344.0,219313.92,N/A,0.58,11.55
S0998,Success,7h 10m 54s,24,,18787.,0.2761,0.17,Jul 22 18:37,Jul 23 01:48,,327.66,9.11,6.76,578153280.0,166773.52,N/A,0.58,8.24
S0999,Success,8h 40m 21s,27,,22401.,0.2948,2.31,Jul 22 18:40,Jul 23 03:20,,327.66,14.13,11.48,597606400.0,230510.31,N/A,0.58,11.55
S1000,Success,6h 22m 19s,21,,17281.,0.2998,0.16,Jul 22 18:36,Jul 23 00:58,,327.66,6.08,6.32,571775232.0,148448.84,N/A,0.34,8.24
S1001,Success,3h 46m 22s,12,,9771.,0.2165,0.16,Jul 22 18:33,Jul 22 22:20,,327.66,5.78,5.57,563340736.0,130286.52,N/A,0.6,8.24
S1003,Success,6h 53m 31s,21,,13795.,0.2262,0.21,Jul 22 18:34,Jul 23 01:28,,327.66,6.16,7.53,569440192.0,190966.81,N/A,0.33,8.24
S1004,Success,6h 35m 14s,21,,13188.,0.2196,0.16,Jul 22 18:34,Jul 23 01:09,,327.66,8.51,7.55,566415424.0,179130.88,N/A,0.48,8.24
S1002,Success,9h 49m 42s,30,,20975.,0.2778,2.31,Jul 22 18:41,Jul 23 04:30,,327.66,14.13,10.28,596116352.0,218497.98,N/A,0.58,11.55
S1005,Success,9h 47m 8s,30,,21517.,0.2846,1.95,Jul 22 18:40,Jul 23 04:27,,327.66,14.13,10.28,596075456.0,217224.19,N/A,0.58,11.55
